id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,payant,gratuit,date,tags,description
6204102,4519451459,Musée des Beaux-Arts,,Cour d'Honneur,62000,Arras,France,fr,open,50.292028,2.7736831,,,,2014,23687,30725,06/01/2002,label:musee de france,
6210801,,Musée Communautaire Opale-Sud,,,,BERCK-SUR-MER,France,fr,open,,,,,,2014,2378,5202,05/04/2002,label:musee de france,
6282601,156284015,Musée Municipal,,Avenue du Château,62520,Le Touquet-Paris-Plage,France,fr,open,50.515136,1.6082098695652083,,,,2014,10674,5847,01/02/2003,label:musee de france,
6249801,164827232,Louvre-Lens (collections nationales decentralisées),,Rue Paul Bert,62300,Lens,France,fr,open,50.430517,2.806294041269842,,,,2014,196754,295130,label:musee de france,
6276701,204398267,Musée Municipal Bruno Danvin,,Rue Oscar Ricque,62130,Saint-Pol-sur-Ternoise,France,fr,open,50.381508,2.337263799999996,,,,2014,0,4350,01/02/2003,label:musee de france,
1433301,7179675885,Musée d'Ethnographie et d'Arts Populaires et Musée de la Marine,,Rue de la Prison,14600,Honfleur,France,fr,open,49.4196131,0.233695,,,,2014,17851,244,01/02/2003,label:musee de france,
1436601,130317028,Musée d'Art et d'Histoire de Lisieux,,Rue du Bon Ange,14100,Lisieux,France,fr,open,49.144569000000004,0.21921411544037808,,,,2014,157,5319,01/02/2003,label:musee de france,
1465401,,Musée des Techniques Fromagères,,,,SAINT-PIERRE-SUR-DIVES,France,fr,closed,,,,,,2014,0,0,01/02/2003,label:musee de france,
1469201,,Musée de la Bataille de Tilly-Sur-Seulles 1944,,,,TILLY-SUR-SEULLES,France,fr,open,,,,,,2014,1299,833,01/02/2003,label:musee de france,
1476201,273869916,Musée Municipal,,Place Sainte-Anne,14500,Vire,France,fr,open,48.83614215,-0.8884562231308408,,,,2014,2761,6074,01/02/2003,label:musee de france,
5002901,2420808765,Musée de la Pomme et de la Poire,,D 489,50720,Barenton,France,fr,open,48.5876546,-0.8064704,,,,2014,847,3303,01/02/2003,label:musee de france,
5011001,,Musée de l'Abbaye,,,,CERISY-LA-FORET,France,fr,open,,,,,,2014,5501,597,01/02/2003,label:musee de france,
5012903,,Musée de la Guerre et de la Libération,,,,CHERBOURG-EN-COTENTIN,France,fr,open,,,,,,2014,4418,8651,01/02/2003,label:musee de france,
5021801,5864155897,Musée Richard Anacréon,,Rue Notre-Dame,50400,Granville,France,fr,open,48.8385103,-1.6006345,,,,2014,7900,8526,01/02/2003,label:musee de france,
5021802,1384094524,Musée d'Art et d'Histoire de Granville,,Rue Cambernon,50400,Granville,France,fr,open,48.8370798,-1.6026316,,,,2014,5743,6634,01/02/2003,label:musee de france,
5063901,218157369,Musée de la Poeslerie,,Cour du Foyer,50800,Villedieu-les-Poêles,France,fr,open,48.84073,-1.221661075,,,,2014,6757,376,01/02/2003,label:musee de france,
6116901,11561463,Musée du Château de Flers,268,Rue Jules Guesde,59650,Villeneuve-d'Ascq,France,fr,open,50.638618050000005,3.1301791408474804,,,,2014,0,2950,11/11/2002,label:musee de france,
6121401,2006338406,Musée Municipal d'Archéologie,12,Rue Joseph Rey,38000,Grenoble,France,fr,open,45.1861012,5.7170417,,,,2014,832,419,01/02/2003,label:musee de france,
6146401,,Musée Départemental d'Art Sacré,,,,SEES,France,fr,open,,,,,,2014,374,421,01/02/2003,label:musee de france,
2701601,822879929,Musée Municipal Nicolas Poussin,,Rue Sainte-Clotilde,27700,Les Andelys,France,fr,open,49.2459998,1.4197004594256404,,,,2014,1850,1307,01/02/2003,label:musee de france,
2746701,182904946,Musée Alfred Canel,64,Rue de la République,27500,Pont-Audemer,France,fr,open,49.3566785,0.5159406375,,,,2014,501,4948,01/02/2003,label:musee de france,
2768101,1612275797,Musée Alphonse-Georges Poulain,,Rue du Pont,27200,Vernon,France,fr,open,49.094892,1.4850183,,,,2014,3229,7994,01/02/2003,label:musee de france,
7616402,2382698870,Maison des Templiers,,Rue Thomas Bazin,76490,Rouen,France,fr,closed,49.5253513,0.7258829,,,,2014,0,0,01/02/2003,label:musee de france,
7625902,,Musée des Arts & de l'Enfance,,,,FECAMP,France,fr,closed,,,,,,2014,0,0,01/02/2003,label:musee de france,
7625901,,Musée des Terres-Neuvas et de la Pêche,,,,FECAMP,France,fr,open,,,,,,2014,0,2000,01/02/2003,label:musee de france,
7635103,76087045,Musée de l'Hôtel Dubocage de Bléville,,Rue de l'Abbaye,76600,Le Havre,France,fr,open,49.503292200000004,0.1652970079749255,,,,2014,0,8599,01/02/2003,label:musee de france,
7635105,10067814,La Maison de l'Armateur,3,Quai de l'Île,76600,Le Havre,France,fr,open,49.4869259,0.11277154992473493,,,,2014,7152,9003,01/02/2003,label:musee de france,
7638401,,"Juliobona, Musée Gallo-Romain de Lillebonne",,,,LILLEBONNE,France,fr,closed,,,,,,2014,0,0,01/02/2003,label:musee de france,
7641201,,Musée des Traditions et Arts Normands,,,,MARTAINVILLE-EPREVILLE,France,fr,open,,,,,,2014,8982,16795,01/02/2003,label:musee de france,
7646201,2151987864,Musée Mathon-Durand,,Grande Rue Saint-Pierre,76270,Neufchâtel-en-Bray,France,fr,open,49.7311219,1.4392934,,,,2014,612,755,01/02/2003,label:musee de france,
7654002,64717877,MUNAE - Musée National de l'Education,6,Rue de Bihorel,76000,Rouen,France,fr,open,49.44841715,1.102956596817131,,,,2014,230,4579,06/01/2002,label:musee de france,
7654007,64180707,Muséum d'Histoire Naturelle,198,Rue Beauvoisine,76000,Rouen,France,fr,open,49.44710085,1.0990036003098362,,,,2014,5516,30871,01/02/2003,label:musee de france,
7675801,122011226,Musée Municipal des Ivoires,8,Place du Maréchal Joffre,76190,Yvetot,France,fr,open,49.6173905,0.7551113568840564,,,,2014,684,361,01/02/2003,label:musee de france,
4410902,97962232,Musée d'Art de Nantes,,Quai de la Fosse,44003,Nantes,France,fr,open,47.2067071,-1.5716565976582118,,,,2014,18470,200187,06/01/2002,label:musee de france,
4909901,1782756206,Musée d'Art et d'Histoire,,Avenue de l’Abreuvoir,49300,Cholet,France,fr,open,47.0583944,-0.8807128,,,,2014,1928,13697,06/04/2002,label:musee de france,
5306201,,Musée d'Art et d'Archéologie Hôtel Fouquet,,,,CHATEAU-GONTIER,France,fr,open,,,,,,2014,213,1085,01/02/2003,label:musee de france,
5318801,129529138,Musée de l'Ardoise et de la Géologie,,Chemin de la Malvalière,53800,Renazé,France,fr,open,47.79468745,-1.0412421144256487,,,,2014,1419,401,01/02/2003,label:musee de france,
7218102,2088806259,Musée de la Reine Bérengère,7,Rue de la Reine Bérengère,72000,Le Mans,France,fr,open,48.0089768,0.1976955,,,,2014,2098,9916,06/01/2002,label:musee de france,
7226901,7856651558,Bibliothèque-musée,,Rue de la République,80000,Amiens,France,fr,open,49.8902852,2.2958703,,,,2014,0,3053,01/02/2003,label:musee de france,
8510601,5401490904,Musée des Traditions de l'Île,,Rue Nationale,85680,La Guérinière,France,fr,open,46.967207,-2.2325648,,,,2014,3722,821,01/02/2003,label:musee de france,
8504601,3790252198,Musée ornithologique Charles-Payraudeau,,Rue des Noyers,85310,La Chaize-le-Vicomte,France,fr,open,46.6720342,-1.2970252,,,,2014,75,238,01/02/2003,label:musee de france,
